code,family,genus,subgenus,species,total_abundance,abundance_proportion,abundance_rank,mean_mass_genus,se_mass_genus,Gen_spp,focalspecies
ANPERFAL,Andrenidae,Perdita,Perdita,fallax,178,0.003,28,0.003661667,0.000256333,Perdita_fallax,0
ANPERLAR,Andrenidae,Perdita,Perditella,larreae,892,0.013,10,0.003661667,0.000256333,Perdita_larreae,0
ANPERMAR,Andrenidae,Perdita,Perditella,marcialis,220,0.003,26,0.003661667,0.000256333,Perdita_marcialis,0
APANPCOM,Apidae,Anthophorula,Anthophorula,compactula,88,0.001,40,,,Anthophorula_compactula,0
APANPCOP,Apidae,Anthophorula,Anthophorula,completa,44,0.001,63,,,Anthophorula_completa,0
APANTCAL,Apidae,Anthophora,Anthophoroides,californica,79,0.001,42,0.144058333,0.004481637,Anthophora_californica,0
APANTCIN,Apidae,Anthophora,NA,cinerula,53,0.001,56,0.144058333,0.004481637,Anthophora_cinerula,0
APANTLES,Apidae,Anthophora,Pyganthophora,lesquerellae,500,0.007,17,0.144058333,0.004481637,Anthophora_lesquerellae,0
APANTPOR,Apidae,Anthophora,Lophanthophora,porterae,288,0.004,22,0.144058333,0.004481637,Anthophora_porterae,0
APANTURB,Apidae,Anthophora,Mystacanthophora,urbana,73,0.001,44,0.144058333,0.004481637,Anthophora_urbana,0
APDIAAUS,Apidae,Diadasia,Coquillettapis,australis,949,0.013,9,0.108954237,0.003637054,Diadasia_australis,0
APDIAMEG,Apidae,Diadasia,Coquillettapis,megamorpha,61,0.001,49,0.108954237,0.003637054,Diadasia_megamorpha,0
APDIAOCH,Apidae,Diadasia,Dasiapis,ochracea,74,0.001,43,0.108954237,0.003637054,Diadasia_ochracea,0
APEUCAAL,Apidae,Eucera,Synhalonia,aff_albescens,38,0.001,65,,,Eucera_aff_albescens,0
APEUCTER,Apidae,Eucera,Synhalonia,territella,38,0.001,66,,,Eucera_territella,0
APHABMOR,Apidae,Habropoda,NA,morrisoni,36,0.001,67,,,Habropoda_morrisoni,0
APMARLUT,Apidae,Martinapis,NA,luteicornis,91,0.001,38,0.10165,0.010081377,Martinapis_luteicornis,0
APMELALE,Apidae,Melecta,Melecta,alexanderi,73,0.001,45,,,Melecta_alexanderi,0
APMELBOH,Apidae,Melecta,Melecta,bohartorum,168,0.002,29,,,Melecta_bohartorum,0
APMELPAC,Apidae,Melecta,Melecta,pacifica,710,0.01,13,,,Melecta_pacifica,0
APMESAGI,Apidae,Melissodes,Eumelissodes,agilis,45,0.001,60,0.047708333,0.002754406,Melissodes_agilis,0
APMESPAR,Apidae,Melissodes,Melissodes,paroselae,45,0.001,61,0.047708333,0.002754406,Melissodes_paroselae,0
APMESVER,Apidae,Melissodes,Eumelissodes,verbesinarum,54,0.001,53,0.047708333,0.002754406,Melissodes_verbesinarum,0
APNEOVIG,Apidae,Neolarra,NA,vigilans,97,0.001,37,,,Neolarra_vigilans,0
COCOLSCO,Colletidae,Colletes,NA,scopiventer,322,0.005,21,0.018766667,0.005296645,Colletes_scopiventer,0
HAAGAMEL,Halictidae,Agapostemon,NA,melliventris,377,0.005,19,0.019803333,0.001024555,Agapostemon_melliventris,0
HAHALLIG,Halictidae,Halictus,NA,ligatus,261,0.004,25,0.0121,0.002517368,Halictus_ligatus,0
HALASAPE,Halictidae,Lasioglossum,Dialictus,aff_pervarum,593,0.008,14,0.003670103,0.000188154,Lasioglossum_aff_pervarum,0
HALASCOM,Halictidae,Lasioglossum,Dialictus,comulum,91,0.001,39,0.003670103,0.000188154,Lasioglossum_comulum,0
HALASDI02,Halictidae,Lasioglossum,Dialictus,2,834,0.012,11,0.003670103,0.000188154,Lasioglossum_2,0
HALASDI07,Halictidae,Lasioglossum,Dialictus,7,72,0.001,46,0.003670103,0.000188154,Lasioglossum_7,0
HALASDI08,Halictidae,Lasioglossum,Dialictus,8,84,0.001,41,0.003670103,0.000188154,Lasioglossum_8,0
HALASLUS,Halictidae,Lasioglossum,Sphecodogastra,lusorium,53,0.001,57,0.003670103,0.000188154,Lasioglossum_lusorium,0
HALASMIC,Halictidae,Lasioglossum,Dialictus,microlepoides,45,0.001,62,0.003670103,0.000188154,Lasioglossum_microlepoides,0
HALASMOR,Halictidae,Lasioglossum,Lasioglossum,morrilli,160,0.002,31,0.003670103,0.000188154,Lasioglossum_morrilli,0
MEANTEMA,Megachilidae,Anthidium,Anthidium,emarginatum,62,0.001,48,0.0391,0,Anthidium_emarginatum,0
MEASHBIG,Megachilidae,Ashmeadiella,Ashmeadiella,bigeloveae,65,0.001,47,,,Ashmeadiella_bigeloveae,0
MEASHCAC,Megachilidae,Ashmeadiella,Ashmeadiella,cactorum,59,0.001,50,,,Ashmeadiella_cactorum,0
MEHOPBIS,Megachilidae,Hoplitis,Alcidamea,biscutellae,50,0.001,58,,,Hoplitis_biscutellae,0
MEMEGSUB,Megachilidae,Megachile,Megachiloides,sublaurita,58,0.001,51,0.078891667,0.004972081,Megachile_sublaurita,0
MEOSMPHE,Megachilidae,Osmia,Melanosmia,phenax,39,0.001,64,,,Osmia_phenax,0
MEOSMPRU,Megachilidae,Osmia,Melanosmia,prunorum,46,0.001,59,,,Osmia_prunorum,0
MEOSMWAT,Megachilidae,Osmia,Melanosmia,watsoni,985,0.014,8,,,Osmia_watsoni,0
